,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Horde,scuffed,9.0,5528291.0,120.0,7.0,2.0,Malakaii,emerald-dream,162.0
1,Horde,scuffed,3.0,13433355.0,120.0,2.0,10.0,Kozlek,emerald-dream,162.0
2,Horde,scuffed,5.0,31922884.0,120.0,4.0,35.0,Teaze,emerald-dream,162.0
3,Horde,scuffed,7.0,32587425.0,13.0,5.0,10.0,Vudubear,emerald-dream,162.0
4,Horde,scuffed,3.0,55619080.0,120.0,9.0,10.0,Redain,emerald-dream,162.0
5,Horde,scuffed,3.0,56702826.0,120.0,4.0,2.0,Wolinobuya,emerald-dream,162.0
6,Horde,scuffed,3.0,56702965.0,120.0,1.0,31.0,Iktan,emerald-dream,162.0
7,Horde,scuffed,5.0,70019072.0,120.0,4.0,5.0,Ràdàr,emerald-dream,162.0
8,Horde,scuffed,5.0,70065244.0,120.0,4.0,5.0,Rappscallion,emerald-dream,162.0
9,Horde,scuffed,5.0,71896981.0,120.0,8.0,5.0,Zediccious,emerald-dream,162.0
10,Horde,scuffed,9.0,71898851.0,120.0,1.0,6.0,Teshunka,emerald-dream,162.0
11,Horde,scuffed,9.0,71992361.0,120.0,11.0,8.0,Keiraa,emerald-dream,162.0
12,Horde,scuffed,9.0,74534625.0,120.0,11.0,6.0,Marutuk,emerald-dream,162.0
13,Horde,scuffed,3.0,77876949.0,120.0,5.0,9.0,Koblish,emerald-dream,162.0
14,Horde,scuffed,3.0,79888280.0,120.0,8.0,10.0,Krimmler,emerald-dream,162.0
15,Horde,scuffed,3.0,80646248.0,120.0,6.0,2.0,Gorani,emerald-dream,162.0
16,Horde,scuffed,9.0,81799342.0,120.0,11.0,6.0,Lithic,emerald-dream,162.0
17,Horde,scuffed,8.0,84857614.0,120.0,1.0,2.0,Honeybadgêr,emerald-dream,162.0
18,Horde,scuffed,9.0,86869633.0,120.0,8.0,31.0,Zenjiin,emerald-dream,162.0
19,Horde,scuffed,9.0,87636640.0,91.0,9.0,2.0,Scabbers,emerald-dream,162.0
20,Horde,scuffed,5.0,88079538.0,120.0,11.0,8.0,Thiondreborn,emerald-dream,162.0
21,Horde,scuffed,3.0,92886194.0,120.0,11.0,6.0,Oxtonworth,emerald-dream,162.0
22,Horde,scuffed,9.0,93239817.0,120.0,10.0,10.0,Brewslèe,emerald-dream,162.0
23,Horde,scuffed,3.0,94711633.0,120.0,7.0,31.0,Nizamdi,emerald-dream,162.0
24,Horde,scuffed,7.0,95391110.0,102.0,9.0,5.0,Cøreth,emerald-dream,162.0
25,Horde,scuffed,7.0,96551967.0,110.0,4.0,5.0,Pastorsrogue,emerald-dream,162.0
26,Horde,scuffed,9.0,97247952.0,120.0,10.0,26.0,Cukuro,emerald-dream,162.0
27,Horde,scuffed,7.0,98567501.0,110.0,8.0,5.0,Pastorb,emerald-dream,162.0
28,Horde,scuffed,4.0,99070290.0,120.0,1.0,10.0,Twerknado,emerald-dream,162.0
29,Horde,scuffed,9.0,100459403.0,94.0,2.0,10.0,Beylla,emerald-dream,162.0
30,Horde,scuffed,5.0,100482456.0,120.0,7.0,2.0,Agachak,emerald-dream,162.0
31,Horde,scuffed,7.0,108594897.0,120.0,3.0,2.0,Thachestakal,emerald-dream,162.0
32,Horde,scuffed,9.0,108902925.0,120.0,4.0,10.0,Dryss,emerald-dream,162.0
33,Horde,scuffed,7.0,109772527.0,110.0,10.0,2.0,Pastorr,emerald-dream,162.0
34,Horde,scuffed,7.0,119099384.0,114.0,6.0,2.0,Abbadonn,emerald-dream,162.0
